ID,Molecule ChEMBL ID,Molecular Weight,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pIC50
1,CHEMBL197469,485.49,O=C1NC(CCCN2CC=C(c3ccccc3)CC2)=NC2CCOCC12,IC50,=',0.02,nM,"1,169,897"
2,CHEMBL4161087,474.51,Cc1ccc(N2CCN(C(=O)c3cc(Cc4n[nH]c(=O)c5ccccc45)cc(F)c3F)CC2)cc1,IC50,<',0.1,nM,11
3,CHEMBL4453414,461.47,NC(=O)c1c(F)ccc2[nH]c(C3CCCNC3)nc12,IC50,=',0.1,nM,11
4,CHEMBL3649771,482.52,O=c1[nH]nc2c3c(cccc13)N=C(CNCc1cccc(C(F)(F)F)c1)N2,IC50,=',0.19,nM,"107,212,464"
5,CHEMBL3764951,346.79,CC(=O)Nc1ccc(C2Nc3cc(F)cc4c(=O)[nH]nc(c34)C2c2ncnn2C)cc1,IC50,=',0.2,nM,"1,069,897"
6,CHEMBL4877994,467.5,O=c1cc(-c2ccc(O)cc2)oc2c(CN3CC=C(c4ccccc4)CC3)c(O)cc(O)c12,IC50,=',0.2,nM,"1,069,897"
7,CHEMBL4582338,538.46,O=C1NC(=O)c2c1c1c(c3oc4ccccc4c23)CCC1,IC50,=',0.2,nM,"1,069,897"
8,CHEMBL550384,525.54,O=C(c1cnn2c1[nH]c(=O)c1ccccc12)N1CCCNCC1,IC50,=',0.23,nM,"1,063,827,216"
9,CHEMBL608994,468.49,CCCN1CCC(c2nc3cncc4c3n2CCNC4=O)CC1,IC50,=',0.31,nM,"1,050,863,831"
10,CHEMBL225725,478.47,Nc1ccc2[nH]c(=O)c3ccccc3c2c1,IC50,=',0.4,nM,"1,039,794,001"
11,CHEMBL2237222,505.48,NC(=O)c1cc(F)cc2[nH]c(C(=O)N3CCC(NC4CCCCC4)C3)nc12,IC50,=',0.4,nM,"1,039,794,001"
12,CHEMBL204898,487.92,Cn1cccc1/C=C1\C(=O)NC(=O)c2ccccc21,IC50,=',0.4,nM,"1,039,794,001"
13,CHEMBL3649745,423.49,O=c1[nH]c(-c2ccc(Br)cc2)nc2ccccc12,IC50,=',0.4,nM,"1,039,794,001"
14,CHEMBL4476087,646.69,O=c1[nH]c2c(c(-c3ccccc3)nn2-c2ccccc2)c2c1CCCC2,IC50,=',"4,365",nM,"1,036,001,575"
15,CHEMBL4470212,467.5,CCC(=O)N1CCN(C(=O)c2nc3c(C(N)=O)cccc3[nH]2)CC1,IC50,=',0.47,nM,"1,032,790,214"
16,CHEMBL400581,389.5,O=c1[nH]c(N2CC(N3CC=C(c4ccccc4)CC3)C2)nc2ccccc12,IC50,=',0.5,nM,"1,030,103"
17,CHEMBL3099718,460.48,COc1ccc(N2CCN(c3nc4c(c(=O)[nH]3)CC(F)(F)CC4)CC2)cc1,IC50,=',0.5,nM,"1,030,103"
18,CHEMBL1949860,471.47,O=C(NCC1=Nc2cccc3c(=O)[nH]nc(c23)N1)c1ccc([N+](=O)[O-])cc1,IC50,=',0.51,nM,"1,029,242,982"
19,CHEMBL2419893,380.36,CC1Cc2cc(N)cc(C(N)=O)c2O1,IC50,=',0.57,nM,"1,024,412,514"
20,CHEMBL4784831,380.36,O=C(Nc1cccc(Cl)c1)c1cc(Cl)cc(Cl)c1O,IC50,=',0.58,nM,"1,023,657,201"
21,CHEMBL1090019,405.48,O=c1[nH]c2ccc(OC3CCN(Cc4ccccc4)CC3)cc2c2c1CSCC2,IC50,=',0.6,nM,"1,022,184,875"
22,CHEMBL513052,387.49,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2ccccc2O)CC1,IC50,=',0.6,nM,"1,022,184,875"
23,CHEMBL4865059,434.47,O=C(OCc1ccccc1)N1CCN(Cc2c(O)cc(O)c3c(=O)cc(-c4ccc(O)cc4)oc23)CC1,IC50,=',0.6,nM,"1,022,184,875"
24,CHEMBL3593992,476.48,COCCOC(C)(C)c1ccc(-c2nc3ccc(F)cc3c(=O)[nH]2)cc1,IC50,=',0.6,nM,"1,022,184,875"
25,CHEMBL3945618,411.51,NC(=O)c1ccccc1OCCc1ccc(F)c(C(=O)N2CCNCC2)c1,IC50,=',0.6,nM,"1,022,184,875"
26,CHEMBL3290458,645.7,NC(=O)c1cccc2c1O/C(=C\c1cc(O)cc(O)c1)C2=O,IC50,=',"6,457",nM,"1,018,996,921"
27,CHEMBL497382,646.69,NC(=O)c1cccc2c1C(=O)N(C1CCN(Cc3ccccc3Br)CC1)C2,IC50,=',"6,761",nM,"1,016,998,906"
28,CHEMBL4525998,645.7,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(c2nc(-c3ccc4[nH]ccc4c3)nc(N3CCOCC3)n2)CC1,IC50,=',"6,918",nM,"1,016,001,944"
29,CHEMBL4084815,525.37,CC(C)(C)OC(=O)N1CCC(N2CCC(NC(=O)c3nc4c(C(N)=O)cccc4[nH]3)CC2)CC1,IC50,=',0.7,nM,"1,015,490,196"
30,CHEMBL4538616,323.37,COc1ccc(C(=O)C2CCN([C@@H]3CCN(Cc4nc5ccccc(=O)c5[nH]4)C3=O)CC2)cc1,IC50,=',0.7,nM,"1,015,490,196"
31,CHEMBL4567050,639.67,O=C1NCC2c3c(cccc31)CCN2CC(=O)N1CCn2c(nnc2C(F)(F)F)C1,IC50,=',"7,244",nM,"1,014,002,156"
32,CHEMBL3763661,486.43,CN(C)Cc1ccc(C2Nc3cccc4c(=O)[nH]nc(c34)C2c2ccc(C(F)(F)F)cc2)cc1,IC50,=',0.74,nM,"1,013,076,828"
33,CHEMBL3098938,486.43,Cc1cccc2c(=O)[nH]c(-c3ccc(Br)cc3)nc12,IC50,=',0.74,nM,"1,013,076,828"
34,CHEMBL3605976,480.56,NC(=O)c1cccc2c1C(=O)N(CCCN1CCOCC1)C2,IC50,=',0.8,nM,"1,009,691,001"
35,CHEMBL4569417,323.37,O=c1cc(-c2ccc(O)cc2)oc2c(CN3CCN(c4ccc(F)cc4)CC3)c(O)cc(O)c12,IC50,=',0.8,nM,"1,009,691,001"
36,CHEMBL447363,528.48,Oc1nc(CCCC2CC=C(c3ccccc3)CC2)nc2ccccc12,IC50,=',0.8,nM,"1,009,691,001"
